signal_type,model,mean_f1,mean_rank,friedman_chi2,friedman_p
logs,CNN1D_AE,0.5638,6.1,25.9344,0.0005
logs,DAGMM,0.8112,1.0,25.9344,0.0005
logs,DEEP_SVDD,0.6019,3.0,25.9344,0.0005
logs,IsolationForest,0.579,2.8,25.9344,0.0005
logs,LSTM_AE,0.5638,6.1,25.9344,0.0005
logs,LSTM_VAE,0.5638,6.1,25.9344,0.0005
logs,OneClassSVM,0.5642,5.8,25.9344,0.0005
logs,Transformer_AE,0.586,5.1,25.9344,0.0005
traces,CNN1D_AE,0.4125,6.2,31.0077,0.0001
traces,DAGMM,0.8175,1.4,31.0077,0.0001
traces,DEEP_SVDD,0.7244,2.0,31.0077,0.0001
traces,IsolationForest,0.4084,7.8,31.0077,0.0001
traces,LSTM_AE,0.4186,5.7,31.0077,0.0001
traces,LSTM_VAE,0.4186,5.7,31.0077,0.0001
traces,OneClassSVM,0.4196,4.1,31.0077,0.0001
traces,Transformer_AE,0.5969,3.1,31.0077,0.0001
metrics,CNN1D_AE,0.5823,4.8,28.1505,0.0002
metrics,DAGMM,0.9061,1.6,28.1505,0.0002
metrics,DEEP_SVDD,0.7724,2.2,28.1505,0.0002
metrics,IsolationForest,0.5196,8.0,28.1505,0.0002
metrics,LSTM_AE,0.5823,4.8,28.1505,0.0002
metrics,LSTM_VAE,0.5823,4.8,28.1505,0.0002
metrics,OneClassSVM,0.5722,6.2,28.1505,0.0002
metrics,Transformer_AE,0.6701,3.6,28.1505,0.0002
