model,signal,auc_roc,f1_validation_tuned,prevalence,f1_predict_all,mean_predicted_rate,degenerate
CNN1D_AE,logs,0.386,0.721,0.564,0.721,1.0,True
CNN1D_AE,metrics,0.217,0.736,0.582,0.736,1.0,True
CNN1D_AE,traces,0.4,0.555,0.419,0.59,0.835,False
DAGMM,logs,0.888,0.857,0.566,0.723,0.539,False
DAGMM,metrics,0.959,0.923,0.583,0.736,0.543,False
DAGMM,traces,0.9,0.852,0.421,0.592,0.37,False
DEEP_SVDD,logs,0.607,0.72,0.566,0.723,0.793,False
DEEP_SVDD,metrics,0.774,0.835,0.583,0.736,0.651,False
DEEP_SVDD,traces,0.886,0.808,0.421,0.592,0.483,False
IsolationForest,logs,0.638,0.68,0.565,0.722,0.604,False
IsolationForest,metrics,0.551,0.636,0.582,0.736,0.678,False
IsolationForest,traces,0.536,0.562,0.42,0.591,0.826,True
LSTM_AE,logs,0.307,0.721,0.564,0.721,1.0,True
LSTM_AE,metrics,0.209,0.736,0.582,0.736,1.0,True
LSTM_AE,traces,0.218,0.59,0.419,0.59,1.0,True
LSTM_VAE,logs,0.298,0.721,0.564,0.721,1.0,True
LSTM_VAE,metrics,0.172,0.736,0.582,0.736,1.0,True
LSTM_VAE,traces,0.268,0.59,0.419,0.59,1.0,True
OneClassSVM,logs,0.57,0.715,0.565,0.722,0.938,False
OneClassSVM,metrics,0.495,0.72,0.582,0.736,0.938,True
OneClassSVM,traces,0.517,0.59,0.42,0.591,0.997,True
Transformer_AE,logs,0.508,0.718,0.564,0.721,0.877,True
Transformer_AE,metrics,0.61,0.791,0.582,0.736,0.896,False
Transformer_AE,traces,0.8,0.678,0.419,0.59,0.491,False
