model,signal_type,precision,recall,f1_score,auc_roc,pr_auc,accuracy,true_anomalies,predicted_anomalies,total_samples,train_time_s,fold,threshold,best_hyperparams
IsolationForest,logs,0.4755,0.742,0.5796,0.6355,0.5321,0.5752,4124,6435,10449,27.51,1,0.08,"{'n_estimators': 100, 'contamination': 0.03183923284706837, 'max_features': 0.5290418060840998, 'max_samples': 0.9330880728874675}"
OneClassSVM,logs,0.3981,0.9748,0.5654,0.5852,0.5297,0.4085,4124,10097,10449,13.09,1,0.03,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,logs,0.3938,1.0,0.5651,0.3205,0.4584,0.3938,4109,10434,10434,840.54,1,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,logs,0.3938,1.0,0.5651,0.6874,0.6596,0.3938,4109,10434,10434,2031.6,1,0.01,"{'d_model': 32, 'nhead': 8, 'n_layers': 1, 'lr': 0.0002465844721448739, 'dropout': 0.022613644455269033, 'epochs': 50}"
CNN1D_AE,logs,0.3938,1.0,0.5651,0.4133,0.531,0.3938,4109,10434,10434,510.55,1,0.01,"{'filters': 32, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.0015930522616241021, 'dropout': 0.35403628889802274, 'epochs': 30}"
LSTM_VAE,logs,0.3938,1.0,0.5651,0.3094,0.4539,0.3938,4109,10434,10434,560.6,1,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,traces,0.2711,0.8628,0.4126,0.5444,0.3491,0.3457,3069,9767,11524,30.38,1,0.01,"{'n_estimators': 100, 'contamination': 0.03183923284706837, 'max_features': 0.5290418060840998, 'max_samples': 0.9330880728874675}"
OneClassSVM,traces,0.2657,0.9948,0.4193,0.518,0.3027,0.2663,3069,11492,11524,19.68,1,0.01,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,traces,0.2653,1.0,0.4193,0.1901,0.2252,0.2653,3053,11508,11508,1023.67,1,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,traces,0.4483,0.9676,0.6127,0.9539,0.8597,0.6755,3053,6589,11508,2141.45,1,0.49,"{'d_model': 128, 'nhead': 8, 'n_layers': 1, 'lr': 0.0040215545266902904, 'dropout': 0.03727532183988541, 'epochs': 100}"
