model,signal_type,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,pr_auc_mean,pr_auc_std,n_folds
IsolationForest,metrics,0.4185,0.0017,0.6853,0.0076,0.5196,0.0029,0.5489,0.0017,0.4969,0.0023,5
OneClassSVM,metrics,0.4117,0.001,0.9388,0.049,0.5722,0.0094,0.4987,0.0007,0.4327,0.0029,5
LSTM_AE,metrics,0.4108,0.001,1.0,0.0,0.5823,0.0009,0.2072,0.0076,0.3633,0.0115,5
Transformer_AE,metrics,0.537,0.2558,0.9907,0.0196,0.6701,0.171,0.6073,0.2807,0.675,0.2084,5
CNN1D_AE,metrics,0.4108,0.001,1.0,0.0,0.5823,0.0009,0.2157,0.0131,0.3845,0.012,5
LSTM_VAE,metrics,0.4108,0.001,1.0,0.0,0.5823,0.0009,0.171,0.0018,0.3162,0.0014,5
DEEP_SVDD,metrics,0.743,0.2543,0.8767,0.0883,0.7724,0.1346,0.7761,0.1894,0.7198,0.2396,5
DAGMM,metrics,0.9229,0.0831,0.8935,0.0636,0.9061,0.0604,0.9598,0.0432,0.9603,0.0392,5
IsolationForest,logs,0.4923,0.0214,0.7052,0.0317,0.579,0.0098,0.6396,0.0061,0.5416,0.0065,5
OneClassSVM,logs,0.4012,0.003,0.9505,0.0225,0.5642,0.0025,0.5699,0.0409,0.5082,0.05,5
LSTM_AE,logs,0.3926,0.0024,1.0,0.0,0.5638,0.0025,0.3083,0.0181,0.4446,0.0186,5
Transformer_AE,logs,0.4691,0.1729,0.9201,0.1787,0.586,0.0514,0.5099,0.2002,0.5695,0.1224,5
CNN1D_AE,logs,0.3926,0.0024,1.0,0.0,0.5638,0.0025,0.3866,0.0344,0.4974,0.0408,5
LSTM_VAE,logs,0.3926,0.0024,1.0,0.0,0.5638,0.0025,0.2994,0.0165,0.4453,0.0162,5
DEEP_SVDD,logs,0.5286,0.2431,0.8727,0.2009,0.6019,0.0417,0.6067,0.1134,0.6196,0.1092,5
DAGMM,logs,0.7881,0.0844,0.8395,0.0381,0.8112,0.0534,0.8893,0.0458,0.8502,0.0762,5
IsolationForest,traces,0.27,0.0044,0.8386,0.022,0.4084,0.0045,0.5363,0.0064,0.3495,0.003,5
OneClassSVM,traces,0.2657,0.0014,0.9971,0.0022,0.4196,0.0018,0.519,0.0093,0.302,0.0151,5
LSTM_AE,traces,0.2647,0.0013,1.0,0.0,0.4186,0.0016,0.2148,0.0248,0.2695,0.0481,5
Transformer_AE,traces,0.6261,0.2561,0.7324,0.2808,0.5969,0.1524,0.7997,0.2254,0.7611,0.2055,5
CNN1D_AE,traces,0.3237,0.1329,0.8598,0.3135,0.4125,0.0125,0.3999,0.0353,0.3763,0.0479,5
LSTM_VAE,traces,0.2647,0.0013,1.0,0.0,0.4186,0.0016,0.2664,0.0205,0.286,0.0118,5
DEEP_SVDD,traces,0.6584,0.2094,0.8583,0.0604,0.7244,0.1216,0.8835,0.0498,0.7975,0.0804,5
DAGMM,traces,0.8464,0.0922,0.8014,0.101,0.8175,0.069,0.8975,0.0735,0.8394,0.1176,5
